filename	acq_time
eeg\sub-007_ses-joy_task-spotrotation_eeg.vhdr	1897-12-25T12:15:00.000
motion\sub-007_ses-joy_task-spotrotation_tracksys-VIRpos_motion.tsv	1897-12-25T12:14:59.733
