time	whole_blood_radioactivity
0	0.261018174
1	0.26116603
2	0.418106864
3	0.261461992
4	0.261610099
5	0.523526
6	0.157142808
7	0.31446704
8	0.471972854
9	0.367295295
10	0.209999648
11	0.735441578
12	0.210237627
13	0.210356718
14	5.211059298
15	60.00054701
16	230.3463335
17	301.2879118
18	298.6027986
19	305.5875405
20	279.0134241
21	258.7930609
22	242.5365611
23	242.3460674
24	234.4502228
25	228.6833018
26	222.259338
27	210.7057925
28	200.9008899
29	198.4525234
30	189.7898347
31	182.2164198
32	175.4586228
33	166.9585407
34	160.5791587
35	160.0172254
36	147.4349451
37	140.3444078
38	133.1983691
39	130.8292851
40	128.9472337
41	123.4231378
42	115.996282
43	114.4866429
44	106.0238183
45	108.3655063
46	96.69354508
47	96.74831782
48	92.5114847
49	91.15118816
50	86.20333998
51	83.04591789
52	82.92987429
53	79.00727916
54	75.8434648
55	79.36894258
56	73.48034802
57	72.48757539
58	68.82565515
59	67.12170559
60	64.54459794
61	65.12621202
62	61.01934727
63	63.4540101
64	58.74235514
65	60.79550276
66	58.09896532
67	55.18186006
68	53.95626782
69	54.26019708
70	54.18152389
71	50.49113389
72	50.62921442
73	50.49358206
74	49.31665871
75	46.32991086
76	50.74402904
77	45.66921954
78	41.19547543
79	43.63427419
80	44.04355783
81	44.34336461
82	41.01399408
83	41.8624314
84	41.88614467
85	40.58809062
86	41.05189974
87	37.1615701
88	38.83693947
89	38.3623245
90	35.95525143
91	41.05778294
92	34.61477502
93	35.46355564
94	34.2668659
95	36.27859687
96	34.08423595
97	35.59938501
98	35.39780042
99	35.08505016
100	32.10866175
101	33.01501261
102	36.81168808
103	33.16357974
104	35.29578049
105	32.36660606
106	33.33131287
107	31.40080247
108	34.42813165
109	33.16492227
110	30.0039319
111	31.1371221
112	32.10418915
113	34.30215102
114	28.11570011
115	30.53647878
116	33.18467844
117	30.45908688
118	30.58840099
119	28.69984287
120	29.89387606
121	28.11515801
122	26.95224539
123	32.81062605
124	30.18653532
125	29.24745218
126	29.32029425
127	28.32344764
128	30.7621135
129	28.41190819
130	32.65881264
131	30.75797499
132	29.0248329
133	28.64581558
134	27.7576997
135	28.22583759
136	28.92088119
137	30.18305546
138	28.6137358
139	26.47624253
140	28.53273023
141	27.5275033
142	29.81431673
143	28.18357248
144	27.63114612
145	28.49988303
146	25.50049875
147	27.05188234
148	29.00413245
149	29.36261553
150	26.58466229
151	29.11052166
152	27.18567866
153	26.4585092
154	28.13103077
155	24.71602594
156	29.3075343
157	25.88881259
158	27.16363688
159	26.54856231
160	28.05470764
161	25.89014944
162	26.99558296
163	28.44713642
164	27.77342208
165	29.1696526
166	27.57470579
167	26.72668294
168	26.05058417
169	28.71691339
170	26.2531054
171	27.3643496
172	28.13051174
173	26.52880888
174	27.52649079
175	28.06265569
176	28.48369427
177	25.14165156
178	24.5767111
179	26.15540619
180	27.3881682
181	26.18504641
182	27.53534138
183	26.96994707
184	25.76458669
185	26.418902
186	27.07400108
187	25.98305707
188	28.96928932
189	26.36223316
190	25.6773228
191	27.44258114
192	26.81579039
193	29.81119935
194	23.63162514
195	24.75597856
196	25.53065546
197	26.48193487
198	26.14541756
199	26.74643178
200	26.29235029
201	26.42461574
202	27.96643806
203	27.45342171
204	26.1168369
205	27.5433598
206	24.85183025
207	23.92397385
208	27.88483376
209	25.18879689
210	28.27041781
211	23.74222706
212	26.82595127
213	26.78205897
214	29.22156213
215	28.1139183
216	27.06435409
217	25.95451446
218	25.49523837
219	23.19811925
220	24.57518188
221	24.35174825
222	27.92859464
223	27.05300281
224	25.7603565
225	27.20264429
226	28.05146179
227	26.75700595
228	26.11669659
229	26.60845804
230	26.26559978
231	25.98204531
232	27.96773416
233	27.02735441
234	24.23280825
235	26.69902151
236	26.11557224
237	25.95070035
238	25.78563718
239	24.42140821
240	27.25470204
241	28.05060184
242	25.90416917
243	24.35663016
244	24.37042715
245	26.97097764
246	26.38427442
247	25.91739355
248	24.54619381
249	26.30854078
250	25.47884391
251	27.78725804
252	25.62850602
253	27.75830313
254	28.0159442
255	26.70060217
256	26.29196387
257	25.03497621
258	28.01886038
259	27.36759486
260	26.04822639
261	23.69579929
262	25.71331363
263	24.51253315
264	26.16810632
265	25.81787562
266	26.50215683
267	26.94358326
268	27.87318022
269	24.65693296
270	26.74531421
271	24.99007687
272	27.26434748
273	28.80810266
274	23.38180714
275	26.51519256
276	26.65266343
277	27.2191252
278	24.17012702
279	24.30644325
280	26.09947861
281	26.11426285
282	28.70950501
283	26.32825276
284	28.06536613
285	27.03500903
286	26.4961617
287	25.89512904
288	27.94405499
289	26.17116486
290	24.95190939
291	26.3860552
292	26.89525385
293	27.71416427
294	29.40022147
295	24.40393755
296	26.27511527
297	26.22804565
298	27.6687498
299	26.6299162
300	27.20356932
301	25.79078983
302	26.11603083
303	24.20399798
304	26.64322356
305	27.46743042
306	24.55643058
307	28.93187613
308	26.20491829
309	27.09304525
310	27.98225816
311	25.50016907
312	26.51426927
313	24.96649272
314	24.16763238
315	27.24785108
316	26.95014782
317	26.4014747
318	28.61097491
319	28.18797988
320	27.19957165
321	26.90095767
322	27.35607803
323	25.54831755
324	27.32416602
325	27.21374832
326	25.7177016
327	25.0392111
328	26.81865104
329	25.44603988
330	27.5434199
331	25.98007819
332	26.43712081
333	25.88307337
334	26.84666431
335	26.03899462
336	27.19377893
337	27.39931078
338	25.76626081
339	25.7808563
340	23.76457536
341	24.79399594
342	26.52370841
343	26.2843949
344	26.36290372
345	25.48669658
346	27.60301317
347	24.11381012
348	26.23139734
349	24.39627608
350	24.98451114
351	25.50957597
352	23.47939651
353	26.68944727
354	26.5126195
355	25.43940495
356	25.19763485
357	25.91682127
358	26.4444916
359	25.7537187
360	26.73125597
361	24.94795952
362	27.21146984
363	24.9119354
364	26.08410176
365	26.09887729
366	26.50015033
367	24.06629277
368	25.69186026
369	23.19049753
370	26.81849921
371	23.60423439
372	26.07327611
373	26.79942588
374	27.13816314
375	25.47021608
376	27.88158919
377	24.91580549
378	25.51352395
379	28.31841229
380	25.28275828
381	24.51764803
382	22.25729077
383	28.3826315
384	22.73783212
385	25.67996713
386	24.78257187
387	28.12100909
388	25.2019202
389	24.49848555
390	26.99337212
391	26.28999909
392	28.78919542
393	26.38519657
394	27.05458646
395	25.62938207
396	24.3992854
397	24.01988314
398	25.14829766
399	25.94999463
400	26.35866854
401	26.30789882
402	27.63765088
403	24.82501251
404	25.82614824
405	24.39228643
406	25.06485318
407	23.56314008
408	24.89540374
409	24.24965051
410	24.98964162
411	27.58062307
412	25.61288541
413	25.16440939
414	26.10518108
415	25.78887139
416	23.88226376
417	26.21586452
418	25.7663905
419	25.64825116
420	23.93642287
421	23.48498543
422	26.22371561
423	24.97475188
424	27.31843849
425	26.26830469
426	24.61747418
427	26.76478976
428	26.71323781
429	25.25997283
430	26.27600307
431	24.68727693
432	26.30577996
