time	plasma_radioactivity	metabolite_parent_fraction	whole_blood_radioactivity
15.0	0.6514527712571522	0.9946557295550584	1.547093389064863
28.2	2.7588088404417896	0.9946557295550584	0.8932504010155949
40.2	3614.0733732761882	0.9946557295550584	2223.8251235114617
55.2	18052.728592169733	0.9946557295550584	11062.096539879309
69.0	25338.39740912695	0.9946315266314925	15604.826431881096
84.0	30215.713254886374	0.9946091165170795	18397.96840302393
100.19999999999999	34791.42249685434	0.9945662325221387	20849.766509785786
115.19999999999999	36840.92968420006	0.994476735489219	22840.297920681216
129.0	39836.559579310386	0.9940954003054737	24715.996327857985
142.79999999999998	34947.57729086429	0.9918312127255194	21572.915569327575
172.20000000000002	21894.483888659357	0.9753265905929358	14102.626624542037
291.0	7940.256955441537	0.9424198851511627	5442.528966264336
595.2	3834.737512174683	0.8113166710580796	2898.6318181087004
895.8	2487.296265043954	0.7313234105283181	2391.8769203618253
1795.2	1784.043282123533	0.6424898221555603	1884.5110726902783
2695.8	1399.3773074535966	0.5491625483575214	1655.1394444488913
3592.8	1082.1357698202914	0.49467419810369173	1598.1422563011472
4510.8	1070.4970905820958	0.4615882839768271	1514.8309125576761
5397.0	1053.3676163540576	0.44844973921745995	1427.8383830505486
6313.2	961.6356104462004	0.41694835542752995	1482.4591943621742
7201.2	853.7431216489681	0.37825316800654035	1443.0765527940584
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
