subject_id	sex	age
sub-01	F	29
sub-02	M	21
sub-03	M	18
sub-04	F	27
sub-05	M	24
sub-06	M	18
sub-07	M	19
sub-08	F	21
sub-09	M	18
sub-10	F	20
sub-11	F	26
sub-12	F	19
sub-13	F	23
sub-14	F	25
sub-15	F	22
sub-16	M	22
sub-17	F	18
sub-18	F	21
sub-19	M	21
sub-20	F	18
sub-21	M	18
sub-22	M	19
sub-23	F	20
sub-24	M	21
sub-25	M	18
sub-26	F	24
sub-27	M	25
sub-28	M	20
sub-29	M	20
sub-30	F	21
sub-31	M	41
sub-32	F	25
sub-33	M	23
sub-34	F	29
