onset	duration	trial_type	TrialType	Stimulus	SSD	Response	response_time	CorrectGo	SuccStop
0.000	1.500	junk	1	1	0.150	49	0.330	0	0
3.250	1.500	go	0	0	0.000	50	0.322	0	0
7.250	1.500	go	0	0	0.000	50	0.362	0	0
9.625	1.500	go	0	1	0.000	49	0.364	0	0
12.125	1.500	go	0	0	0.000	50	0.255	0	0
14.500	1.500	go	0	1	0.000	49	0.304	0	0
19.000	1.500	failed stop	1	1	0.100	49	0.404	0	0
24.500	1.500	go	0	0	0.000	50	0.336	0	0
26.625	1.500	go	0	0	0.000	50	0.412	0	0
28.750	1.500	go	0	1	0.000	49	0.318	0	0
31.750	1.500	go	0	0	0.000	50	0.334	0	0
34.500	1.500	failed stop	1	1	0.250	49	0.281	0	0
37.375	1.500	go	0	1	0.000	49	0.381	0	0
40.875	1.500	failed stop	1	1	0.200	49	0.282	0	0
46.000	1.500	go	0	0	0.000	50	0.364	0	0
48.875	1.500	go	0	0	0.000	50	0.377	0	0
51.250	1.500	go	0	1	0.000	49	0.391	0	0
53.375	1.500	go	0	1	0.000	49	0.413	0	0
55.500	1.500	successful stop	1	0	0.100	0	0.000	0	1
57.750	1.500	go	0	0	0.000	50	0.334	0	0
60.500	1.500	go	0	1	0.000	49	0.320	0	0
64.000	1.500	successful stop	1	0	0.150	0	0.000	0	1
66.750	1.500	go	0	0	0.000	50	0.318	0	0
69.125	1.500	go	0	1	0.000	49	0.327	0	0
71.125	1.500	go	0	0	0.000	50	0.343	0	0
73.375	1.500	successful stop	1	0	0.200	0	0.000	0	1
75.375	1.500	go	0	1	0.000	49	0.309	0	0
78.125	1.500	go	0	1	0.000	49	0.383	0	0
80.625	1.500	successful stop	1	0	0.050	0	0.000	0	1
82.875	1.500	go	0	1	0.000	49	0.281	0	0
87.375	1.500	go	0	1	0.000	49	0.445	0	0
90.000	1.500	go	0	0	0.000	50	0.356	0	0
92.500	1.500	go	0	0	0.000	50	0.365	0	0
95.000	1.500	go	0	1	0.000	49	0.436	0	0
97.000	1.500	go	0	0	0.000	50	0.268	0	0
99.625	1.500	successful stop	1	1	0.150	0	0.000	0	1
104.375	1.500	go	0	0	0.000	50	0.373	0	0
107.000	1.500	go	0	1	0.000	49	0.268	0	0
109.625	1.500	successful stop	1	1	0.100	0	0.000	0	1
112.375	1.500	go	0	0	0.000	50	0.301	0	0
115.250	1.500	go	0	0	0.000	50	0.410	0	0
118.000	1.500	failed stop	1	1	0.200	49	0.260	0	0
121.625	1.500	go	0	1	0.000	49	0.403	0	0
123.625	1.500	go	0	0	0.000	50	0.363	0	0
125.750	1.500	go	0	0	0.000	50	0.342	0	0
128.500	1.500	go	0	0	0.000	50	0.336	0	0
130.625	1.500	go	0	1	0.000	49	0.363	0	0
133.375	1.500	failed stop	1	1	0.250	49	0.405	0	0
135.875	1.500	go	0	1	0.000	49	0.374	0	0
138.500	1.500	go	0	0	0.000	50	0.304	0	0
142.375	1.500	go	0	0	0.000	50	0.341	0	0
144.375	1.500	successful stop	1	1	0.150	0	0.000	0	1
147.625	1.500	successful stop	1	1	0.150	0	0.000	0	1
149.875	1.500	go	0	0	0.000	50	0.393	0	0
152.000	1.500	go	0	0	0.000	50	0.332	0	0
155.500	1.500	go	0	1	0.000	49	0.352	0	0
158.000	1.500	go	0	1	0.000	49	0.396	0	0
162.125	1.500	go	0	0	0.000	50	0.319	0	0
165.750	1.500	failed stop	1	1	0.200	49	0.286	0	0
168.000	1.500	go	0	0	0.000	50	0.364	0	0
170.500	1.500	failed stop	1	1	0.200	49	0.272	0	0
173.000	1.500	go	0	0	0.000	50	0.284	0	0
175.875	1.500	go	0	1	0.000	49	0.249	0	0
178.000	1.500	go	0	0	0.000	50	0.309	0	0
181.875	1.500	go	0	1	0.000	49	0.303	0	0
185.125	1.500	failed stop	1	0	0.150	50	0.231	0	0
190.500	1.500	go	0	1	0.000	49	0.312	0	0
192.750	1.500	go	0	0	0.000	50	0.278	0	0
195.375	1.500	go	0	1	0.000	49	0.357	0	0
198.250	1.500	go	0	1	0.000	49	0.434	0	0
200.500	1.500	go	0	0	0.000	50	0.312	0	0
202.750	1.500	failed stop	1	0	0.200	49	0.254	1	0
204.750	1.500	failed stop	1	0	0.150	50	0.454	0	0
206.875	1.500	go	0	1	0.000	49	0.449	0	0
209.000	1.500	go	0	0	0.000	50	0.340	0	0
212.000	1.500	go	0	1	0.000	49	0.300	0	0
214.000	1.500	go	0	0	0.000	50	0.268	0	0
216.875	1.500	go	0	1	0.000	49	0.409	0	0
219.500	1.500	go	0	1	0.000	49	0.440	0	0
223.500	1.500	failed stop	1	0	0.200	50	0.320	0	0
226.000	1.500	failed stop	1	1	0.150	49	0.298	0	0
228.375	1.500	go	0	1	0.000	49	0.453	0	0
231.375	1.500	go	0	0	0.000	50	0.341	0	0
234.125	1.500	go	0	0	0.000	50	0.399	0	0
236.750	1.500	go	0	0	0.000	50	0.398	0	0
238.875	1.500	go	0	0	0.000	50	0.369	0	0
242.875	1.500	successful stop	1	1	0.100	0	0.000	0	1
246.375	1.500	go	0	1	0.000	49	0.381	0	0
248.875	1.500	go	0	1	0.000	49	0.377	0	0
251.875	1.500	go	0	0	0.000	50	0.305	0	0
255.125	1.500	failed stop	1	1	0.100	49	0.319	0	0
258.500	1.500	go	0	0	0.000	50	0.320	0	0
263.000	1.500	successful stop	1	1	0.150	0	0.000	0	1
265.375	1.500	go	0	0	0.000	50	0.365	0	0
267.500	1.500	go	0	1	0.000	49	0.304	0	0
271.250	1.500	go	0	0	0.000	50	0.330	0	0
273.250	1.500	go	0	0	0.000	50	0.424	0	0
275.625	1.500	go	0	0	0.000	50	0.379	0	0
280.375	1.500	successful stop	1	1	0.050	0	0.000	0	1
282.875	1.500	go	0	1	0.000	49	0.385	0	0
285.000	1.500	successful stop	1	1	0.100	0	0.000	0	1
287.875	1.500	go	0	0	0.000	50	0.337	0	0
290.000	1.500	go	0	0	0.000	50	0.388	0	0
292.250	1.500	go	0	1	0.000	49	0.330	0	0
295.625	1.500	go	0	0	0.000	50	0.300	0	0
297.750	1.500	go	0	1	0.000	49	0.350	0	0
300.125	1.500	go	0	0	0.000	50	0.271	0	0
302.125	1.500	failed stop	1	1	0.200	49	0.295	0	0
304.875	1.500	go	0	1	0.000	49	0.361	0	0
307.875	1.500	go	0	0	0.000	50	0.329	0	0
311.625	1.500	successful stop	1	1	0.150	0	0.000	0	1
313.625	1.500	go	0	0	0.000	50	0.331	0	0
315.875	1.500	go	0	1	0.000	49	0.303	0	0
318.250	1.500	go	0	0	0.000	50	0.314	0	0
322.750	1.500	successful stop	1	0	0.150	0	0.000	0	1
325.000	1.500	go	0	1	0.000	49	0.380	0	0
328.000	1.500	go	0	1	0.000	49	0.452	0	0
331.875	1.500	go	0	1	0.000	49	0.441	0	0
334.625	1.500	failed stop	1	0	0.100	50	0.324	0	0
337.375	1.500	go	0	0	0.000	50	0.437	0	0
340.250	1.500	go	0	0	0.000	50	0.339	0	0
343.125	1.500	successful stop	1	0	0.150	0	0.000	0	1
345.375	1.500	go	0	1	0.000	49	0.373	0	0
347.750	1.500	go	0	1	0.000	49	0.366	0	0
351.250	1.500	failed stop	1	0	0.200	50	0.419	0	0
354.000	1.500	go	0	0	0.000	50	0.564	0	0
356.625	1.500	go	0	1	0.000	49	0.339	0	0
359.125	1.500	go	0	1	0.000	49	0.407	0	0
