onset	duration	trial_type	TrialType	Stimulus	SSD	Response	response_time	CorrectGo	SuccStop
0.000	1.500	go-critical	0	1	0.000	49	0.416	0	0
2.625	1.500	go-critical	0	1	0.000	49	0.396	0	0
6.125	1.500	failed stop-noncritical	1	0	0.350	50	0.374	0	0
8.750	1.500	failed stop-critical	1	1	0.250	49	0.301	0	0
11.250	1.500	go-critical	0	1	0.000	49	0.545	0	0
16.250	1.500	failed stop-noncritical	1	0	0.250	50	0.393	0	0
18.500	1.500	go-noncritical	0	0	0.000	50	0.382	0	0
20.750	1.500	go-noncritical	0	0	0.000	50	0.404	0	0
23.125	1.500	go-noncritical	0	0	0.000	50	0.381	0	0
25.250	1.500	go-noncritical	0	0	0.000	50	0.352	0	0
28.000	1.500	go-noncritical	0	0	0.000	50	0.363	0	0
30.125	1.500	go-critical	0	1	0.000	49	0.518	0	0
33.000	1.500	go-noncritical	0	0	0.000	50	0.371	0	0
35.375	1.500	go-critical	0	1	0.000	49	0.395	0	0
39.250	1.500	go-noncritical	0	0	0.000	50	0.353	0	0
42.500	1.500	go-critical	0	1	0.000	49	0.510	0	0
44.500	1.500	go-noncritical	0	0	0.000	50	0.390	0	0
49.125	1.500	go-noncritical	0	0	0.000	50	0.365	0	0
51.125	1.500	go-critical	0	1	0.000	49	0.405	0	0
53.250	1.500	go-critical	0	1	0.000	49	0.481	0	0
55.375	1.500	successful stop-critical	1	1	0.200	0	0.000	0	1
58.125	1.500	go-critical	0	1	0.000	49	0.437	0	0
60.125	1.500	go-critical	0	1	0.000	49	0.381	0	0
62.625	1.500	failed stop-noncritical	1	0	0.200	50	0.434	0	0
64.625	1.500	go-noncritical	0	0	0.000	50	0.361	0	0
67.125	1.500	go-noncritical	0	0	0.000	50	0.406	0	0
69.125	1.500	go-noncritical	0	0	0.000	50	0.334	0	0
71.625	1.500	go-critical	0	1	0.000	49	0.345	0	0
75.125	1.500	failed stop-critical	1	1	0.200	49	0.373	0	0
77.125	1.500	failed stop-noncritical	1	0	0.200	50	0.349	0	0
79.375	1.500	failed stop-critical	1	1	0.350	49	0.483	0	0
82.125	1.500	go-critical	0	1	0.000	49	0.613	0	0
85.375	1.500	go-critical	0	1	0.000	49	0.366	0	0
88.750	1.500	go-critical	0	1	0.000	49	0.365	0	0
91.625	1.500	successful stop-critical	1	1	0.200	0	0.000	0	1
93.875	1.500	go-noncritical	0	0	0.000	50	0.375	0	0
96.000	1.500	go-noncritical	0	0	0.000	50	0.354	0	0
98.000	1.500	failed stop-noncritical	1	0	0.200	50	0.507	0	0
101.625	1.500	go-noncritical	0	0	0.000	50	0.426	0	0
103.625	1.500	go-critical	0	1	0.000	49	0.514	0	0
106.125	1.500	go-noncritical	0	0	0.000	50	0.309	0	0
108.250	1.500	go-noncritical	0	0	0.000	50	0.376	0	0
111.875	1.500	failed stop-critical	1	1	0.150	49	0.327	0	0
113.875	1.500	go-critical	0	1	0.000	0	0.000	0	0
116.500	1.500	go-noncritical	0	0	0.000	50	0.366	0	0
