subject_id	sex	age
sub-01	F	18
sub-02	M	27
sub-03	F	19
sub-04	F	18
sub-05	M	19
sub-06	F	19
sub-07	F	18
sub-08	F	19
sub-09	M	23
sub-10	M	27
sub-11	M	23
sub-12	F	20
sub-13	F	19
sub-14	M	19
sub-15	M	19
sub-16	M	22
sub-17	M	18
sub-18	F	21
