participant_id	age	sex
sub02	27	F
sub03	30	F
sub04	26	F
sub05	24	F
sub06	27	M
sub07	31	F
sub08	26	M
sub09	29	M
sub10	23	M
sub11	24	F
sub12	24	F
sub13	26	F
sub14	24	F
sub15	31	M
sub16	25	M
sub17 na  na
sub18 na  na
sub19 na  na
