time	whole_blood_radioactivity
0	0.100396532
2	0.125638107
4	0.327033967
6	0.277033642
8	0.302561547
10	0.353389762
12	0.227434534
14	0.480692332
16	3.800135703
18	22.39962769
20	62.80114612
22	98.88561316
24	118.3739087
26	116.9542563
28	104.9909263
30	90.17625108
32	76.67651148
34	65.753885
36	56.5272614
38	50.85515244
40	43.49552286
42	38.71062494
44	35.15920891
46	31.36862521
48	27.98570099
50	27.23983655
52	24.62457134
54	22.26389794
56	20.83395113
58	18.8289001
60	19.03247998
62	18.0115455
64	16.57105166
66	14.55318404
68	13.34135199
70	13.61809519
72	13.24065004
74	13.70142234
76	10.96099584
78	10.97341722
80	10.32833917
82	11.99896886
84	11.74892148
86	13.55724109
88	12.46261652
90	11.94763391
92	12.35844877
94	12.69064974
96	12.70503123
98	11.60327794
100	11.85585923
102	12.32208895
104	11.48279136
106	11.22887789
108	11.48210821
110	12.59209606
112	11.615283
114	11.92341219
116	12.47386441
118	12.51487868
120	11.93708736
122	11.73511945
124	12.34171707
126	12.70670831
128	12.1804949
130	12.97908831
132	11.25999278
134	11.29987131
136	10.68827351
138	10.12967771
140	9.325010711
142	9.417281288
144	7.9012452
146	8.838142752
148	7.700592712
150	7.654615713
152	7.307323578
154	7.397842246
156	7.59833474
158	7.387143887
160	6.652891134
162	6.632896045
164	7.026339847
166	7.669086324
168	6.6554715
170	7.437514625
172	7.418249639
174	7.177137353
176	8.184525982
178	7.471285787
180	7.618849937
182	8.295943056
184	6.966968744
186	7.951845867
188	7.094543487
190	7.634139956
192	6.97059636
194	6.950457086
196	7.351327991
198	7.078628352
200	8.155829792
202	6.446883642
204	8.033316265
206	7.082539846
208	7.260140039
210	6.957132293
212	7.163298137
214	7.11469919
216	7.520236843
218	7.415064005
220	6.939733819
222	7.37490373
224	6.556221793
226	7.248867435
228	6.799747245
230	6.635764833
232	7.216241443
234	8.228329065
236	7.519749638
238	7.298295308
240	7.421683459
242	7.314846049
244	6.803952686
246	7.01379239
248	7.946872058
250	7.98482257
252	7.385362742
254	6.958618796
256	7.111704061
258	7.17790965
260	7.826406321
262	7.2816055
264	6.910622987
266	6.947658643
268	7.07248259
270	7.226853683
272	7.498789947
274	7.565965763
276	6.546573502
278	6.759808177
280	7.444523677
282	7.570847943
284	7.077848004
286	7.883412237
288	6.679919733
290	7.457195843
292	7.37673002
294	6.524638175
296	8.373811988
298	6.926017635
300	6.397995654
302	8.163831708
304	8.173083248
306	7.614695938
308	7.055071434
310	7.811624191
312	7.760521636
314	7.43919788
316	6.60643403
318	7.185368634
320	8.006556543
322	6.960503199
324	6.998569877
326	6.855437032
328	7.710157258
330	6.810421663
332	8.000511913
334	7.766752036
336	8.23137468
338	6.963019463
340	7.27544771
342	7.405648625
344	7.505612864
346	7.911391172
348	6.78842501
350	6.581742962
352	6.834479627
354	6.811529817
356	8.109990121
358	7.319221829
360	7.019511049
362	7.274148294
364	7.128039506
366	7.445174081
368	7.113264055
370	7.771826753
372	7.005355273
374	8.596729105
376	8.326703685
378	7.49594051
380	7.94057756
382	7.544127064
384	8.145933635
